
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2024年01月19日","2026年05月18日","102","1","102"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/12/12","Ｓｙｎｓｐｅｃｔｉｖｅ","290A","東証",株式現物買,"--"," 特定 ","--",100,1220,--,--,"2025/12/16",122000
"2025/12/15","Ｓｙｎｓｐｅｃｔｉｖｅ","290A","東証",株式現物売,"--"," 特定 ","申告",300,1222,--,--,"2025/12/17",366600
"2025/12/22","Ｓｙｎｓｐｅｃｔｉｖｅ","290A","PTS（J）",株式現物買,"--"," 特定 ","--",300,1265,--,--,"2025/12/24",379500
"2025/12/22","ファナック","6954","PTS（J）",株式現物買,"--"," 特定 ","--",100,5911,--,--,"2025/12/24",591100
"2025/12/26","ファナック","6954","東証",株式現物売,"--"," 特定 ","申告",100,5980,--,--,"2025/12/30",598000
"2025/12/29","Ｓｙｎｓｐｅｃｔｉｖｅ","290A","東証",株式現物売,"--"," 特定 ","申告",300,1180,--,--,"2026/01/05",354000
"2025/12/30","住友金属鉱山","5713","東証",株式現物買,"--"," NISA(成) ","--",100,6420,--,--,"2026/01/06",642000
"2026/01/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2519,39709,--,--,"2026/01/14",10000
"2026/02/10","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2512,39809,--,--,"2026/02/16",10000
"2026/02/26","メタプラネット","3350","東証",株式現物売,"--"," 特定 ","申告",500,325,--,--,"2026/03/02",162500
"2026/02/26","メタプラネット","3350","PTS（J）",株式現物買,"--"," 特定 ","--",500,319.8,--,--,"2026/03/02",159900
"2026/02/26","浜松ホトニクス","6965","東証",株式現物買,"--"," 特定 ","--",100,2035,--,--,"2026/03/02",203500
"2026/03/02","浜松ホトニクス","6965","PTS（J）",株式現物売,"--"," 特定 ","申告",100,2011,--,--,"2026/03/04",201100
"2026/03/09","住友金属鉱山","5713","PTS（X）",株式現物売,"--"," NISA(成) ","非課税",100,9430.2,--,--,"2026/03/11",943020
"2026/03/10","村田製作所","6981","PTS（J）",株式現物売,"--"," 特定 ","申告",100,3699.8,--,--,"2026/03/13",369980
"2026/03/10","村田製作所","6981","PTS（J）",株式現物買,"--"," 特定 ","--",100,3702,--,--,"2026/03/12",370200
"2026/03/10","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2547,39275,--,--,"2026/03/13",10000
"2026/04/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2598,38495,--,--,"2026/04/13",10000
"2026/04/10","住友電気工業","5802","PTS（J）",株式現物買,"--"," 特定 ","--",100,10661,--,--,"2026/04/15",1066100
"2026/05/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2366,42272,--,--,"2026/05/13",10000
"2026/05/12","住友電気工業","5802","東証",株式現物売,"--"," 特定 ","申告",100,11000,--,--,"2026/05/14",1100000


